mw_id,ce_id
HEX0105-0008,c303eed3-1f0c-449b-94e8-778cf4e4b191
KHX0917-0008,c1093acf-5bda-4a4b-9524-be5355718ef4
KHX1638-0016,bc30cd32-27f1-4723-9c9f-ded9a9bd39b4
JK238064-0002,0eb6a157-826e-42f8-89fd-6f85091ca6db
KHX0790-0004,8577dbe9-4405-476f-a186-3bf6df69d525
KHX0917-0009,b8708147-ae67-4e52-b414-d3f3d22db4c1
HEX3166-0020,52ba020d-ac4e-42db-8b85-676b897f209d
KHX0748-0004,5e0ba011-ccf8-456f-8950-78009c4beab2
HEX9039-0002,fd4806ca-6039-43e8-bf13-144bdb609406
HEX9399-0009,52944879-d9a1-4ecf-a631-cefb1544d519
JE25135-0008,06695770-8b3d-4277-b69e-def9afee4016
HEX5108-0003,6bc70dcd-6fc8-4347-864e-2969705bf102
HEX7622-0002,93f05d4c-8c9b-4257-83fd-e6f5346db439
HEX8308-0023,6f10d6d7-58a5-4abd-86c7-a6b9bcc0b161
KHX0920-0006,fbd041a9-1a9a-43bf-97a1-6f7c217045f8
KHX0700-0002,1385df5e-6d45-43ea-b6ae-f83f5e8d7dd1
KHX2901-0018,68015faa-f2c2-4866-b4b2-67f7c43243f4
KHX0272-0014,ebb476f5-7bcd-42a6-9d69-782e61b4c138
HEX14391-0013,f792b62c-a94a-44f1-8cc1-663467035850
KHX0332-0021,fd856cb8-7f02-48fe-bdfc-3f8b2530d80b
HEX9150-0010,9c16efbd-329b-4d07-b375-3f8076805e32
HEX6970-0020,98c5df8b-e6fa-4ef7-86ea-be5aee44e062
HEX0558-0007,3b111dc8-43c2-450f-b999-cb5f8d97f001
HEX9128-0014,94da948b-46a8-44bf-b462-4f76f269f7ed
HEX2253-0014,94abb5b3-59b5-44af-b950-2dd99bd97e01
HEX14686-0017,3fcd66e7-f9b0-49a6-87d2-c5ecb2a0fed4
HEX9394-0002,4eb30919-bd0b-47f3-bff7-aa30770b96f0
HEX6475-0011,e8068eac-098c-4589-b22c-eb2917ca9fa0
HEX12394-0046,76161bf0-a589-460c-bc25-675f674587ce
HEX6113-0008,cc411a6e-3b4d-4907-811d-1789d72224e3
HEX8581-0012,c485d626-10ff-4839-992b-fd4aa8c41b0b
HEX14697-0013,58afdee9-4578-4e2f-a220-6c9f43b086f5
HEX7878-0003,68395c85-a737-4f74-a43c-3cc99b06f31b
HEX7686-0007,1d7b1e07-1915-49b3-ae57-936e1e860d37
HEX4886-0012,a601939b-0876-47b6-aa1b-451881c558ac
HEX5683-0009,bfc9eb2f-8f48-4c0f-8c21-fd91c26db842
HEX11860-0004,f372b8b4-22ca-4528-bdce-e8d4e8982d3d
HEX11860-0001,6bca0710-8411-4eb5-b288-64655621c014
HEX15093-0014,b41d9990-46ae-401d-8c92-91686f7dc2b3
KHX0467-0009,49a19ed4-e84d-4b33-996a-02575967bdfc
HEX10343-0009,6b12115f-02e5-40e1-8f47-b6be831d0fe9
HEX10756-0005,6c006d24-39fe-4400-86e6-b12f130533ea
HEX11472-0006,27f45412-1dfc-4afa-9196-b73e6ad1adb0
HEX15154-0005,6042ebfe-5297-4682-bd81-01aac318e170
HEX6530-0003,bdc0e092-68ae-47e2-8e56-06cd17b38b89
HEX4123-0003,ba5f8a4a-2b62-466d-822b-fb46b7698200
JK205161-0008,609fc128-5d3b-436c-9b09-fbce98eb5fed
KHX1445-0002,b27ce7a0-4ed7-4266-ab31-5469b1395d46
HEX15132-0062,157f7938-4508-475d-bbe2-8a0a3a8567cc
HEX12360-0001,5f054c7a-d6b7-469c-9845-15420a7d8195
KHX0117-0021,0c740ac4-551b-47a5-b33c-482514fceea4
JK178550-0008,067fae4f-ff75-4838-b9de-b0d16a58c5b4
KHX1538-0005,eb26ff6d-c97d-44ee-938a-0b87741ba4ae
KHX1528-0012,00af5d81-d721-4770-8b4b-0af6e6f470f9
KHX2264-0004,d560e10a-b476-40d2-b0a1-ffc744ec9b03
KHX0534-0001,1fe9fca9-5c63-4d1c-95bf-f11129b8fb09
KHX1111-0016,2a358c33-19f6-475a-b5e7-d835872a5ebe
KHX0644-0026,a21e0133-22c0-4f8a-87eb-648c7846d800
JK178550-0007,e5a72ac9-212b-4785-a791-5f36922daf4e
HEX8027-0004,43a283e6-44ec-4d4c-8567-36bb7c64c363
HEX13782-0010,af3291fd-e762-463c-9769-805a8d107d47
HEX4709-0002,01764d00-203d-42af-8f13-50cdd052eeab
HEX5200-0012,c298eddc-bb4b-487c-b68c-a107f5e2494c
HEX7595-0009,0558aad2-88c5-4ca6-875d-0fc6276fe915
HEX13782-0001,6f0dbe39-9f7a-4b02-8615-9af8cc58942f
HEX8272-0013,dc0bc25f-4486-4568-8733-177d848e5238
JK131421-0003,8f595b19-a6c1-47be-a0c6-c2959bce99f1
KHX2260-0010,7b30c23e-4574-484e-bd7a-b59e1ed6e193
HEX5404-0009,19de11f4-b896-47d7-af39-169a27285616
KHX2944-0012,1d4b1628-9125-4e23-8d23-908facd897d1
KHX1622-0020,1dd33d72-53f2-403b-bde9-6e695c5c4fbc
HEX6298-0004,825786b1-1b52-4eba-ab1f-a2950f84e264
HEX2986-0002,ec7a48b7-e7db-48f8-87a1-a8b70dab8462
HEX9022-0018,aa832552-00f0-4e45-b590-b7db989b982d
HEX6178-0010,bf458e95-9675-4960-96dc-f5c3ea6bd80f
KHX0770-0005,5cdb6f7e-c025-4f78-b2d7-3e8382fb67cd
HEX11578-0020,58c39d1f-da28-463f-9150-a94a2ae5e4da
HEX6326-0002,9be76aea-bd03-4150-a008-43e22140e459
HEX14872-0007,19b7b779-0467-469d-85c2-e15d28e803aa
HEX10464-0023,6f9814c4-666e-4e67-82ef-2ee7f56f1947
HEX13931-0003,9abc3550-6452-4193-8273-064152de7614
HEX7682-0007,6fd2ce49-5707-4072-861e-7e44a837f2ee
HEX12651-0010,a0d1a1c7-8f64-4d02-9346-a3c3c654705e
HEX15255-0005,9a504584-f59c-4a05-980c-944fdbe4a021
HEX1643-0004,7161d0a6-c96e-4742-a77f-a1f43973d201
HEX5444-0018,01d3648f-4562-476d-a704-253c11c92bb5
JE25998-0009,972cd4b0-8281-42d4-b800-1ccfd641ad25
KHX1130-0012,f312085c-efc3-4e63-9498-053ce8530210
KHX2707-0001,93f8bac6-b749-4077-904a-20d18181d1c3
KHX0347-0005,21d5dd49-fe14-4cab-a43c-7f6b1ebcce0e
KHX0743-0002,3862a921-ca32-4b2b-b4cf-fad74f598895
